"","x"
"1",53080.8792915195
"2",68486.0904002562
"3",38328.3393690363
"4",95498.7998353317
"5",11835.6580613181
"6",3910.00553499907
"7",50450.5032906309
"8",57848.2555225492
"9",83930.3907938302
"10",65444.4975312799
"11",94452.8339896351
"12",51165.7629627734
"13",8492.10591986775
"14",99477.0509423688
"15",40144.4119866937
"16",89564.6296674386
"17",87685.8412055299
"18",29648.4797960147
"19",13259.1909728944
"20",26591.0907648504
"21",572.754279710352
"22",81960.1821480319
"23",17466.1678960547
"24",84308.055206202
"25",16671.216674149
"26",76401.943503879
"27",51893.8087392598
"28",27268.5303352773
"29",34320.3135766089
"30",70507.5340112671
"31",59153.5301180556
"32",46937.9037618637
"33",33637.6605555415
"34",96783.7428674102
"35",64584.1883728281
"36",19630.1169227809
"37",35718.0385151878
"38",51301.8082128838
"39",88299.6740518138
"40",15266.7565271258
"41",23046.1597442627
"42",16298.8578435034
"43",61434.6859045327
"44",50163.6443892494
"45",18811.8888065219
"46",40771.4852597564
"47",58238.8046896085
"48",30892.9065009579
"49",48096.5640163049
"50",93939.4792309031
"51",4604.05482444912
"52",53486.1729713157
"53",44266.078225337
"54",90636.5469563752
"55",88104.2381748557
"56",16324.1116330028
"57",75219.0765691921
"58",40298.7202163786
"59",55695.2693499625
"60",8016.92819222808
"61",11656.8592377007
"62",92519.2561233416
"63",87884.4240680337
"64",16320.7626901567
"65",53156.3901342452
"66",92979.2168317363
"67",32571.5993763879
"68",16079.4630879536
"69",94970.7917869091
"70",46235.7048643753
"71",22077.0887332037
"72",201.923260465264
"73",61919.2603277043
"74",40250.592213124
"75",90003.2610632479
"76",50588.1984485313
"77",72648.7081032246
"78",2748.6614882946
"79",37941.3213115185
"80",38674.4662187994
"81",33782.0725282654
"82",36443.1851310655
"83",63875.5969703197
"84",3291.43274575472
"85",69619.258842431
"86",81556.4174670726
"87",50742.2853494063
"88",11259.2625897378
"89",90632.3301140219
"90",41333.8953163475
"91",47375.5787825212
"92",71371.4180048555
"93",24187.1210513636
"94",29964.0627577901
"95",70447.8821484372
"96",77167.4948045984
"97",1384.03405435383
"98",55131.3953474164
"99",65246.1190475151
"100",93166.0708039999
"101",69039.1705138609
"102",25376.7139045522
"103",41103.8370104507
"104",12289.1113162041
"105",13196.655572392
"106",64011.8008246645
"107",34642.3432230949
"108",42275.6604617462
"109",93940.8880425617
"110",38388.9230899513
"111",22858.5131000727
"112",69027.868588455
"113",985.791743732989
"114",68613.0894348025
"115",79167.4596024677
"116",50749.3488723412
"117",30807.6248969883
"118",73721.2277250364
"119",30471.5243401006
"120",77470.8701763302
"121",11211.3637849689
"122",79774.3699979037
"123",49100.1167334616
"124",83291.8174797669
"125",75842.3154940829
"126",90214.6560838446
"127",27844.0013062209
"128",44569.2849811167
"129",27201.5735739842
"130",32991.8325645849
"131",86360.0653829053
"132",10985.7953386381
"133",40225.6899746135
"134",40607.5093662366
"135",43647.9254858568
"136",17700.0096300617
"137",26573.0200102553
"138",65955.0013486296
"139",81605.5504838005
"140",42118.4344682842
"141",16006.4304247499
"142",28861.0127288848
"143",80212.9008341581
"144",16424.5681837201
"145",78979.2735129595
"146",52421.4969947934
"147",32003.5002660006
"148",27517.7087867633
"149",80189.80382476
"150",10402.4431202561
"151",83812.2266577557
"152",7926.28736235201
"153",71756.4067104831
"154",86461.7826649919
"155",97855.820809491
"156",24912.6207549125
"157",2486.06903478503
"158",22297.823196277
"159",12202.5499586016
"160",38523.9424882457
"161",8433.04744921625
"162",28258.189978078
"163",56658.2458792254
"164",32854.2302362621
"165",94347.4682746455
"166",37730.3513931111
"167",95331.5612394363
"168",27325.2867627889
"169",68733.0156099051
"170",13699.1804465652
"171",81021.0771625862
"172",76260.4692019522
"173",44240.4833855107
"174",45667.5694556907
"175",68045.5088848248
"176",7439.79089893401
"177",64662.9075054079
"178",78991.4111606777
"179",22331.6506715491
"180",4094.39904615283
"181",38464.8363338783
"182",34409.2153944075
"183",44636.8692209944
"184",38683.316949755
"185",91831.7915406078
"186",17401.7543438822
"187",14987.0562367141
"188",61319.9228886515
"189",1724.3331996724
"190",6611.04843020439
"191",77883.9041478932
"192",93565.6127054244
"193",20720.4139558598
"194",64334.315690212
"195",33137.9575189203
"196",95542.1590944752
"197",81718.9157009125
"198",74027.6143187657
"199",22270.5976804718
"200",4572.47165031731
"201",36652.6579251513
"202",74139.3025033176
"203",93350.6249915808
"204",67320.9949862212
"205",70135.710737668
"206",84762.5407855958
"207",70615.6654981896
"208",85880.775959231
"209",44564.449111931
"210",67663.4992007166
"211",12782.4782626703
"212",73617.1535216272
"213",6724.51483551413
"214",28080.00696823
"215",41161.7683712393
"216",94342.4997152761
"217",97734.253318049
"218",3886.65851205587
"219",58772.7777194232
"220",3001.16771832108
"221",56528.1208371744
"222",9822.72308319807
"223",63029.0788598359
"224",81850.1834524795
"225",35004.1663041338
"226",13398.3674924821
"227",8094.3378387019
"228",35044.3314295262
"229",99627.1784650162
"230",53296.8810759485
"231",33589.7380486131
"232",31423.4643476084
"233",38262.2060365975
"234",1854.6407809481
"235",3653.91168743372
"236",87851.3294039294
"237",40206.4023772255
"238",46938.1074188277
"239",40233.6510131136
"240",70209.0102480724
"241",39916.4465256035
"242",50195.8322711289
"243",3697.37506844103
"244",29797.5734807551
"245",96284.1981789097
"246",93509.6904635429
"247",96109.9177366123
"248",79259.5364153385
"249",75477.7192836627
"250",6596.6630121693
"251",13550.4779173061
"252",12359.9375598133
"253",76254.3860822916
"254",90346.5715935454
"255",40265.9090235829
